iter	Accuracy	MultiClass
905	0.7263969171	1.140869366
906	0.7272532648	1.140017424
907	0.7276814387	1.139191634
908	0.7276814387	1.138206444
909	0.7272532648	1.137219507
910	0.7274673517	1.136769427
911	0.7281096125	1.135927026
912	0.7278955256	1.135279847
913	0.7278955256	1.134671321
914	0.7281096125	1.133947415
915	0.7281096125	1.133655564
916	0.7274673517	1.133010354
917	0.7278955256	1.132067605
918	0.7281096125	1.131326882
919	0.7278955256	1.130795053
920	0.7283236994	1.129763629
921	0.7281096125	1.128566891
922	0.7283236994	1.128082654
923	0.7283236994	1.127669182
924	0.7291800471	1.126788259
925	0.7291800471	1.126044154
926	0.7285377863	1.125035448
927	0.7289659602	1.124678231
928	0.7298223079	1.123810081
929	0.7300363948	1.123393988
930	0.7304645686	1.122726325
931	0.7311068294	1.121965095
932	0.7313209163	1.121457482
